release_id,track_number,performance_id,track_title,duration_seconds,spotify_track_url,notes
release-30-days-of-dead-1970-03-01,4,,Dark Star,1649,,"disc 1 track 4; MusicBrainz recording 9bc11828-efbf-48dd-90e5-6ce07a9c7517; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,5,,Space / The Other One / Stella Blue,994,,"disc 1 track 5; MusicBrainz recording 3f3ef0a4-f2c8-4db7-b6bf-ce7ee8ca5505; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,6,,Mississippi Half-Step / Looks Like Rain / Deal,1817,,"disc 1 track 6; MusicBrainz recording cc8fb18f-2510-48ec-b5ea-4eb60931d2e7; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,7,,Samson and Delilah / So Many Roads,967,,"disc 1 track 7; MusicBrainz recording b5d85dcb-8cd2-493c-b6e6-a9dd712256d2; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,8,gd-1970-03-01-casey-jones-1-2,Casey Jones,314,,disc 1 track 8; MusicBrainz recording 298a9144-d8c7-4358-8963-e662c7bb120d; title aligned uniquely and monotonically with the gd-1970-03-01 setlist.
release-30-days-of-dead-1970-03-01,9,,Easy to Love You / Minglewood / Althea,1470,,"disc 1 track 9; MusicBrainz recording ea6da2ff-73ea-439d-ab74-4f8bc43da93e; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,10,,Space / Truckin’ / Black Peter,1240,,"disc 1 track 10; MusicBrainz recording dea4b806-d8c0-47e9-8b8e-0fd2d6d886fa; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,11,,Lazy Lightning / Supplication / Bird Song / Looks Like Rain / Deal,2166,,"disc 1 track 11; MusicBrainz recording 15bfa212-6b95-4b27-9250-cbf5d9cce439; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,12,,Scarlet Begonias / Fire on the Mountain,1394,,"disc 1 track 12; MusicBrainz recording 1c4c7674-d448-4c90-aea8-42663c84bcfd; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,13,,St. Stephen / The Eleven / Drums / High Time,1433,,"disc 1 track 13; MusicBrainz recording fa91afed-52cd-4f7d-81ba-46e7d532bc0f; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,14,,Mississippi Half-Step / Black-Throated Wind / Bird Song,1875,,"disc 1 track 14; MusicBrainz recording ce17cab6-17ae-4172-af5a-1e82a5af13a3; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,15,,Box of Rain / Mexicali Blues / Sugaree,1123,,"disc 1 track 15; MusicBrainz recording 6fabf612-a87d-4a08-8564-dbed1dc22d1f; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,16,,The Wheel / I Need a Miracle / Standing on the Moon,1122,,"disc 1 track 16; MusicBrainz recording 5dad667d-da01-486d-91cd-73ec2c00d94d; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,17,,Iko Iko / The Other One / Black Peter,1723,,"disc 1 track 17; MusicBrainz recording 474a258c-10d5-429d-ab9b-0eaa48e1f125; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,18,,China Cat Sunflower / I Know You Rider / Estimated Prophet / Eyes of the World,2234,,"disc 1 track 18; MusicBrainz recording f4625611-6bb8-4ef1-a222-32c9cf86c1c2; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,19,,Cold Rain and Snow / My Brother Esau / Althea,1245,,"disc 1 track 19; MusicBrainz recording 93337b3f-15b7-4e6e-9931-8bd44970d5b2; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,20,,That’s It for the Other One / Black Peter,2049,,"disc 1 track 20; MusicBrainz recording 1e329ab2-40dd-4b7a-95ea-1398ed40bdb6; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,21,,Cassidy / Far From Me / Box of Rain,1053,,"disc 1 track 21; MusicBrainz recording e8a2de21-7c07-48bf-a464-efda2851bccf; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,22,,China Cat Sunflower / I Know You Rider,771,,disc 1 track 22; MusicBrainz recording f559ee7e-bac2-4b79-9e2d-6272799e0846; no canonical performance mapped: track combines more than one canonical performance (medley); needs the segment bridge table.
release-30-days-of-dead-1970-03-01,23,,Ramble on Rose / Let It Grow,1107,,"disc 1 track 23; MusicBrainz recording 8b930701-7017-45b1-af5b-0926d8258bc7; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,24,,Jam / The Other One / Wharf Rat / Sugar Magnolia,2227,,"disc 1 track 24; MusicBrainz recording f21f68b2-c4e3-4380-a83b-ec77e43891ff; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,25,,Attics of My Life,330,,"disc 1 track 25; MusicBrainz recording 591ad6ff-bb9a-430b-9d8a-836442a66cb6; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,26,gd-1970-03-01-uncle-john-s-band-1-21,Uncle John’s Band,578,,disc 1 track 26; MusicBrainz recording 0f2884c2-4241-4dc3-99f9-b25ee10c2769; title aligned uniquely and monotonically with the gd-1970-03-01 setlist.
release-30-days-of-dead-1970-03-01,27,,Shakedown Street / Estimated Prophet / Eyes of the World,2158,,"disc 1 track 27; MusicBrainz recording de08d336-827b-4a3d-9026-a0153bce2c0e; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,28,,One More Saturday Night,329,,"disc 1 track 28; MusicBrainz recording f1759890-6970-4224-a7cf-bde7261092e7; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,29,,Deal / Cassidy / Friend of the Devil,1068,,"disc 1 track 29; MusicBrainz recording d2411623-fd7e-4c95-87c1-d5e5993da178; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-1970-03-01,30,,He's Gone / Truckin’ / Drums / The Other One / Stella Blue,3077,,"disc 1 track 30; MusicBrainz recording 7894ebe4-afe5-4647-9056-8159ff709283; no canonical performance mapped: title is not in the show's canonical setlist (intro, tuning, banter, or source-only segment)."
release-30-days-of-dead-2010,1,gd-1970-09-20-new-speedway-boogie-1-11,New Speedway Boogie (1970‐09‐20: Fillmore East),603,,disc 1 track 1; MusicBrainz recording 8fb093f2-933c-4d4c-94b9-6a1d0684d2dd; title aligned uniquely and monotonically with the gd-1970-09-20 setlist.
release-30-days-of-dead-2010,2,gd-1969-06-05-dark-star-2-3,Dark Star (1969‐06‐05: Fillmore West),1272,,disc 1 track 2; MusicBrainz recording e6fef107-9d76-46a8-b9c0-d4281751fe59; title aligned uniquely and monotonically with the gd-1969-06-05 setlist.
release-30-days-of-dead-2010,3,gd-1981-03-14-althea-1-7,"Althea (1981‐03‐14: Hartford Civic Center, Hartford, CT)",527,,disc 1 track 3; MusicBrainz recording 94deacc9-f10a-449c-bd7f-47c8d9a9c523; title aligned uniquely and monotonically with the gd-1981-03-14 setlist.
release-30-days-of-dead-2010,4,,"Playin’ in the Band (1973‐05‐13: Iowa St. Fairgrounds, Des Moines, IA)",1737,,disc 1 track 4; MusicBrainz recording 00803abe-1b15-4573-ab03-f0ab9b2b1484; no canonical performance mapped: setlist alignment for gd-1973-05-13 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2010,5,,"Easy Wind A (1970‐01‐16: Springer’s Inn, Portland, OR)",592,,disc 1 track 5; MusicBrainz recording b0744dee-4760-48b5-90e5-5fb8cba208e9; no canonical performance mapped: setlist alignment for gd-1970-01-16 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2010,6,gd-1980-10-13-sugaree-2-1,Sugaree (1980‐10‐13: Warfield),615,,disc 1 track 6; MusicBrainz recording a8ee0579-ba5e-4008-8207-82feb6ac7c07; title aligned uniquely and monotonically with the gd-1980-10-13 setlist.
release-30-days-of-dead-2010,7,,"He’s Gone A (1987‐03‐26: Hartford Civic Center, Hartford, CT)",776,,disc 1 track 7; MusicBrainz recording 05ae73cf-0f3e-432a-92dc-0f755ecae209; no canonical performance mapped: setlist alignment for gd-1987-03-26 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2010,8,gd-1980-10-07-estimated-prophet-3-2,Estimated Prophet (1980‐10‐07: Warfield),737,,disc 1 track 8; MusicBrainz recording 4ff9b33b-73c4-474f-87af-b75e829b2a44; title aligned uniquely and monotonically with the gd-1980-10-07 setlist.
release-30-days-of-dead-2010,9,,"China Cat Rider (1970‐02‐01: The Warehouse, New Orleans, LA)",724,,disc 1 track 9; MusicBrainz recording cc6c6b6a-f614-4ee1-8226-10b8a7d79006; no canonical performance mapped: setlist alignment for gd-1970-02-01 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2010,10,gd-1967-03-18-cream-puff-war-2-1,Cream Puff War (1967‐03‐18: Winterland),375,,disc 1 track 10; MusicBrainz recording e58ac941-2260-4d38-ac25-d9fa07cd401d; title aligned uniquely and monotonically with the gd-1967-03-18 setlist.
release-30-days-of-dead-2010,11,gd-1983-10-15-saint-stephen-2-7,"St. Stephen (1983‐10‐15: Hartford Civic Center, Hartford, CT)",473,,disc 1 track 11; MusicBrainz recording d53b811b-c071-47f4-acfa-ab2ad868f0e2; title aligned uniquely and monotonically with the gd-1983-10-15 setlist.
release-30-days-of-dead-2010,12,gd-1978-04-24-the-music-never-stopped-1-10,"The Music Never Stopped (1978‐04‐24: Horton Field House, Illinois State University)",532,,disc 1 track 12; MusicBrainz recording 700c876b-7292-4e09-bac3-c80d965594b4; title aligned uniquely and monotonically with the gd-1978-04-24 setlist.
release-30-days-of-dead-2010,13,gd-1971-05-30-truckin-2-8,Truckin’ (1971‐05‐30: Winterland),508,,disc 1 track 13; MusicBrainz recording 966c0d84-0d88-4006-83c7-b185d6e114f2; title aligned uniquely and monotonically with the gd-1971-05-30 setlist.
release-30-days-of-dead-2010,14,gd-1970-12-26-minglewood-blues-1-11,"New Minglewood Blues (1970‐12‐26: Legion Stadium, El Monte, CA)",328,,disc 1 track 14; MusicBrainz recording 95112c40-be8b-4553-8cd8-0bf77eb6b361; title aligned uniquely and monotonically with the gd-1970-12-26 setlist.
release-30-days-of-dead-2010,15,,"Sailor / Saint (1980‐10‐25: Radio City Music Hall, New York City, NY)",795,,disc 1 track 15; MusicBrainz recording 8032594e-0537-4951-9492-e15030009422; no canonical performance mapped: setlist alignment for gd-1980-10-25 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2010,16,gd-1967-08-04-new-potato-caboose-1-2,"New Potato Caboose (1967‐08‐04: O’Keefe, Toronto, ON)",410,,disc 1 track 16; MusicBrainz recording 4c1a02e4-d4f4-4b25-86f1-23e04bb34818; title aligned uniquely and monotonically with the gd-1967-08-04 setlist.
release-30-days-of-dead-2010,17,gd-1970-12-28-cold-rain-and-snow-1-1,"Cold Rain & Snow (1970‐12‐28: Legion Stadium, El Monte, CA)",401,,disc 1 track 17; MusicBrainz recording ced6d384-b324-4c9d-bc7b-189e4934e303; title aligned uniquely and monotonically with the gd-1970-12-28 setlist.
release-30-days-of-dead-2010,18,gd-1993-03-28-so-many-roads-2-3,"So Many Roads (1993‐03‐28: Knickerbocker Arena, Albany, NY)",445,,disc 1 track 18; MusicBrainz recording 39c9a206-82e0-4a54-bb93-ec9f689eddc3; title aligned uniquely and monotonically with the gd-1993-03-28 setlist.
release-30-days-of-dead-2010,19,gd-1971-02-24-sugar-magnolia-2-1,"Sugar Magnolia (1971‐02‐24: Capitol Theater, Port Chester, NY)",348,,disc 1 track 19; MusicBrainz recording 962d103e-32a6-4a8f-b131-61cdc0df070b; title aligned uniquely and monotonically with the gd-1971-02-24 setlist.
release-30-days-of-dead-2010,20,,"Alligator (1967‐08‐05: O’Keefe, Toronto, ON)",673,,disc 1 track 20; MusicBrainz recording a4c097d5-8e3a-4f9e-9b49-b11a930a73b7; no canonical performance mapped: track date 1967-08-05 date matches multiple canonical shows.
release-30-days-of-dead-2010,21,,"Cassidy / Don’t Ease Me In (1983‐08‐31: Silva Hall, Eugene, OR)",591,,disc 1 track 21; MusicBrainz recording 028fb966-f388-40f3-8d5d-4f099f899f14; no canonical performance mapped: setlist alignment for gd-1983-08-31 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2010,22,,"Tennessee Jed / Let It Grow (1989‐10‐23: Charlotte Coliseum, Charlotte, NC)",1307,,disc 1 track 22; MusicBrainz recording 98a3fb6e-bfef-47f5-bf27-d0a4e6967cfc; no canonical performance mapped: setlist alignment for gd-1989-10-23 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2010,23,gd-1969-01-25-dupree-s-diamond-blues-2-1,"Dupree’s Diamond Blues (1969‐01‐25: Avalon Ballroom, San Francisco)",248,,disc 1 track 23; MusicBrainz recording a8a68de5-dc70-474b-a2ca-a57a11e326d2; title aligned uniquely and monotonically with the gd-1969-01-25 setlist.
release-30-days-of-dead-2010,24,,"Help / Slipknot! / Franklins (1991‐05‐05: Cal Expo, Sacramento, CA)",1527,,disc 1 track 24; MusicBrainz recording d8366c3d-2c94-4df5-b4cd-b1907874f983; no canonical performance mapped: setlist alignment for gd-1991-05-05 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2010,25,gd-1984-04-14-my-brother-esau-1-5,"My Brother Esau (1984‐04‐14: Hampton Coliseum, Hampton, VA)",352,,disc 1 track 25; MusicBrainz recording 568d1062-dbd4-45e5-9d8f-f9c2b092d240; title aligned uniquely and monotonically with the gd-1984-04-14 setlist.
release-30-days-of-dead-2010,26,gd-1982-04-06-shakedown-street-2-1,"Shakedown Street (1982‐04‐06: Spectrum, Philadelphia, PA)",801,,disc 1 track 26; MusicBrainz recording 8b934c4f-bd61-44f9-a467-72e35e09ab81; title aligned uniquely and monotonically with the gd-1982-04-06 setlist.
release-30-days-of-dead-2010,27,gd-1970-01-10-mason-s-children-1-7,"Mason’s Children (1970‐01‐10: Golden Hall, San Diego, CA)",286,,disc 1 track 27; MusicBrainz recording 8c9e479b-9045-48a7-bd85-65b07472516c; title aligned uniquely and monotonically with the gd-1970-01-10 setlist.
release-30-days-of-dead-2010,28,gd-1990-07-16-let-it-grow-1-9,"Let It Grow (1990‐07‐16: Rich Stadium, Orchard Park, NY)",715,,disc 1 track 28; MusicBrainz recording cc1d8941-bdd3-49be-bf07-4f0c30deb966; title aligned uniquely and monotonically with the gd-1990-07-16 setlist.
release-30-days-of-dead-2010,29,,"Uncle John’s Band (1970‐02‐11: Fillmore East, New York City)",342,,disc 1 track 29; MusicBrainz recording 9c1f749b-6dfd-49e7-a300-b97043555d50; no canonical performance mapped: track date 1970-02-11 date matches multiple canonical shows.
release-30-days-of-dead-2010,30,gd-1978-06-04-sugar-magnolia-3-2,"Sugar Magnolia (1978‐06‐04: UCSB Stadium, Santa Barbara)",505,,disc 1 track 30; MusicBrainz recording a83b6aa4-fe19-4586-aa60-e571dc7be8bd; title aligned uniquely and monotonically with the gd-1978-06-04 setlist.
release-30-days-of-dead-2013,1,gd-1981-03-24-shakedown-street-2-1,Shakedown Street,929,,disc 1 track 1; MusicBrainz recording 24873953-3993-47eb-90d4-448998f031eb; title aligned uniquely and monotonically with the gd-1981-03-24 setlist.
release-30-days-of-dead-2013,2,gd-1971-02-24-minglewood-blues-2-6,New Minglewood Blues,275,,disc 1 track 2; MusicBrainz recording 14ac22f6-3ee2-44e2-91d8-9aa9e08f17a4; title aligned uniquely and monotonically with the gd-1971-02-24 setlist.
release-30-days-of-dead-2013,3,gd-1994-10-01-so-many-roads-1-9,So Many Roads,440,,disc 1 track 3; MusicBrainz recording 09190b3f-c2ff-4d67-9c4a-2429fbfba745; title aligned uniquely and monotonically with the gd-1994-10-01 setlist.
release-30-days-of-dead-2013,4,gd-1980-08-26-sugaree-1-1,Sugaree,776,,disc 1 track 4; MusicBrainz recording 9b294db5-3e83-429f-84d8-cee57eae8eb5; title aligned uniquely and monotonically with the gd-1980-08-26 setlist.
release-30-days-of-dead-2013,5,gd-1966-07-03-cream-puff-war-2-5,Cream Puff War,318,,disc 1 track 5; MusicBrainz recording 2c69b2ef-3e00-400c-b629-da869a8f434e; title aligned uniquely and monotonically with the gd-1966-07-03 setlist.
release-30-days-of-dead-2013,6,gd-1973-11-25-playing-in-the-band-1-14,Playing in the Band,1034,,disc 1 track 6; MusicBrainz recording 13478750-564b-4a00-8669-1217b51cc95d; title aligned uniquely and monotonically with the gd-1973-11-25 setlist.
release-30-days-of-dead-2013,7,,West L.A. Fadeaway,438,,disc 1 track 7; MusicBrainz recording ccea0482-36cb-4f87-8e31-3136aa66bcf2; no canonical performance mapped: setlist alignment for gd-1987-03-26 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2013,8,,Uncle John’s Band,339,,disc 1 track 8; MusicBrainz recording a6443452-1e28-4253-b44d-851d9ae483dd; no canonical performance mapped: track date 1970-02-11 date matches multiple canonical shows.
release-30-days-of-dead-2013,9,gd-1979-05-07-passenger-1-9,Passenger,366,,disc 1 track 9; MusicBrainz recording e921cdf4-c716-4601-a73d-ad70138a4f47; title aligned uniquely and monotonically with the gd-1979-05-07 setlist.
release-30-days-of-dead-2013,10,gd-1989-07-10-tennessee-jed-1-6,Tennessee Jed,500,,disc 1 track 10; MusicBrainz recording 8fe1443d-fcc2-4905-84f8-1d8e346c35dc; title aligned uniquely and monotonically with the gd-1989-07-10 setlist.
release-30-days-of-dead-2013,11,gd-1971-11-12-black-peter-1-10,Black Peter,615,,disc 1 track 11; MusicBrainz recording 00d99353-d366-48ec-8ae4-53b93348a1d8; title aligned uniquely and monotonically with the gd-1971-11-12 setlist.
release-30-days-of-dead-2013,12,gd-1976-06-12-the-music-never-stopped-1-3,The Music Never Stopped,312,,disc 1 track 12; MusicBrainz recording a1e4120e-f034-4964-b689-d82df9fc63d2; title aligned uniquely and monotonically with the gd-1976-06-12 setlist.
release-30-days-of-dead-2013,13,gd-1993-03-27-loose-lucy-1-7,Loose Lucy,437,,disc 1 track 13; MusicBrainz recording 48587467-7d90-4f65-a4c9-ac389402d88c; title aligned uniquely and monotonically with the gd-1993-03-27 setlist.
release-30-days-of-dead-2013,14,gd-1972-03-22-big-railroad-blues-1-14,Big Railroad Blues,228,,disc 1 track 14; MusicBrainz recording 7c643977-1cc8-4887-a24b-d95fd4fa08a4; title aligned uniquely and monotonically with the gd-1972-03-22 setlist.
release-30-days-of-dead-2013,15,gd-1977-05-26-high-time-2-2,High Time,464,,disc 1 track 15; MusicBrainz recording 5993e1da-3242-4583-ba6c-912021456a6a; title aligned uniquely and monotonically with the gd-1977-05-26 setlist.
release-30-days-of-dead-2013,16,,That’s It for the Other One,775,,disc 1 track 16; MusicBrainz recording 9695d979-ae7f-439e-b4a4-9704a5321680; no canonical performance mapped: setlist alignment for gd-1968-08-23 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2013,17,,Let It Grow / Don’t Ease Me In,956,,disc 1 track 17; MusicBrainz recording 8be080a7-4436-433b-a064-3122987f0ea0; no canonical performance mapped: setlist alignment for gd-1987-09-16 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2013,18,gd-1980-11-29-candyman-1-3,Candyman,461,,disc 1 track 18; MusicBrainz recording 92994e1f-f5d9-4470-bc88-12fefe212648; title aligned uniquely and monotonically with the gd-1980-11-29 setlist.
release-30-days-of-dead-2013,19,gd-1986-03-31-feel-like-a-stranger-2-1,Feel Like a Stranger,567,,disc 1 track 19; MusicBrainz recording c3fd255d-210c-49c1-bdf2-f53acfee116e; title aligned uniquely and monotonically with the gd-1986-03-31 setlist.
release-30-days-of-dead-2013,20,gd-1978-11-18-stagger-lee-1-7,Stagger Lee,381,,disc 1 track 20; MusicBrainz recording f9909feb-58ce-48c3-926e-d84774340a5c; title aligned uniquely and monotonically with the gd-1978-11-18 setlist.
release-30-days-of-dead-2013,21,,I Need a Miracle / Bertha,588,,disc 1 track 21; MusicBrainz recording f15555fc-c6ba-45cb-9e08-c07edae10feb; no canonical performance mapped: setlist alignment for gd-1982-08-10 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2013,22,gd-1995-03-23-corrina-2-4,Corrina,775,,disc 1 track 22; MusicBrainz recording 96b42cb5-a8a0-4712-b79e-e0f02a180f62; title aligned uniquely and monotonically with the gd-1995-03-23 setlist.
release-30-days-of-dead-2013,23,gd-1985-06-24-my-brother-esau-1-6,My Brother Esau,304,,disc 1 track 23; MusicBrainz recording b268b59f-a200-448d-858f-22ef208dc639; title aligned uniquely and monotonically with the gd-1985-06-24 setlist.
release-30-days-of-dead-2013,24,,China Cat Sunflower / I Know You Rider,732,,disc 1 track 24; MusicBrainz recording 0bc66c96-a6b3-4667-ae94-3797cecb4b7c; no canonical performance mapped: setlist alignment for gd-1973-02-21 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2013,25,,Space / Only a Fool,544,,disc 1 track 25; MusicBrainz recording eec575ae-12bb-4945-b274-e6d388190753; no canonical performance mapped: setlist alignment for gd-1984-04-23 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2013,26,gd-1977-05-18-friend-of-the-devil-1-5,Friend of the Devil,500,,disc 1 track 26; MusicBrainz recording 4e936112-4f59-4afd-b1a8-f161830228fe; title aligned uniquely and monotonically with the gd-1977-05-18 setlist.
release-30-days-of-dead-2013,27,,Alligator / Caution (Do Not Stop on Tracks),2011,,disc 1 track 27; MusicBrainz recording fe70f7f4-974a-4d68-a83c-fe2032a57713; no canonical performance mapped: setlist alignment for gd-1967-11-10 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2013,28,,Hell in a Bucket / Don’t Ease Me In,657,,disc 1 track 28; MusicBrainz recording 0665394a-8ae9-4c82-b39c-69dec89efabd; no canonical performance mapped: setlist alignment for gd-1985-06-27 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2013,29,,Scarlet Begonias / Fire on the Mountain,1207,,disc 1 track 29; MusicBrainz recording d8716bf9-180e-4d81-9bd8-940658a8908e; no canonical performance mapped: setlist alignment for gd-1978-05-07 held (no_source_titles_match_canonical_setlist).
release-30-days-of-dead-2013,30,gd-1972-09-10-bird-song-1-5,Bird Song,828,,disc 1 track 30; MusicBrainz recording 65ef48d3-d549-4e87-8609-9ce2be874a39; title aligned uniquely and monotonically with the gd-1972-09-10 setlist.
release-30-days-of-dead-2019,1,gd-1974-07-25-loose-lucy-1-2,Loose Lucy,311,,disc 1 track 1; MusicBrainz recording 6f54db0d-d1a3-4721-94e9-443f0b771ec9; title aligned uniquely and monotonically with the gd-1974-07-25 setlist.
release-30-days-of-dead-2019,2,gd-1979-12-05-shakedown-street-2-1,Shakedown Street,1095,,disc 1 track 2; MusicBrainz recording ee1f47f0-0ed3-4198-a63e-ad73fb542700; title aligned uniquely and monotonically with the gd-1979-12-05 setlist.
release-30-days-of-dead-2019,3,gd-1982-08-29-let-it-grow-1-10,Let It Grow,795,,disc 1 track 3; MusicBrainz recording f5582fc0-4b4d-43fb-bad8-763fb852b404; title aligned uniquely and monotonically with the gd-1982-08-29 setlist.
