venue_id,name,city,state_region,country,latitude,longitude,notes,setting,capacity
venue-barton-hall-cornell-university-ithaca,"Barton Hall, Cornell University",Ithaca,NY,US,42.446,-76.4808,Normalized from gdshowsdb 1977 bulk baseline. Wikidata: Q4865629 (name+city matched).,indoor,4800
venue-baton-rouge-international-speedway-baton-rouge,Baton Rouge International Speedway,Baton Rouge,LA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-bayfront-center-arena-st-petersburg,Bayfront Center Arena,St. Petersburg,FL,US,,,Normalized from gdshowsdb 1988 bulk baseline.,,
venue-beacon-theatre-new-york,Beacon Theatre,New York,NY,US,,,Normalized from gdshowsdb 1976 bulk baseline.,,
venue-beat-club-bremen,Beat Club,Bremen,,Germany,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-beaver-hall-portland,Beaver Hall,Portland,OR,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-berkeley-community-theater-berkeley,Berkeley Community Theater,Berkeley,CA,US,37.8685,-122.271,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q4892000 (name+city matched).,indoor,
venue-betty-nelson-s-organic-raspberry-farm-sultan,Betty Nelson's Organic Raspberry Farm,Sultan,WA,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-bickershaw-festival-wigan,Bickershaw Festival,Wigan,,England,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-big-nig-s-house-san-jose,Big Nig's House,San Jose,CA,US,,,Normalized from gdshowsdb 1965 bulk baseline.,,
venue-billerica-forum-north-billerica,Billerica Forum,North Billerica,MA,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-birmingham-jefferson-convention-complex-coliseum-birmingham,Birmingham Jefferson Convention Complex Coliseum,Birmingham,AL,US,,,Normalized from gdshowsdb 1995 bulk baseline.,,
venue-blockbuster-desert-sky-pavilion-phoenix,Blockbuster Desert Sky Pavilion,Phoenix,AZ,US,,,Normalized from gdshowsdb 1994 bulk baseline.,,
venue-blossom-music-center-cuyahoga-falls,Blossom Music Center,Cuyahoga Falls,OH,US,41.1913,-81.5607,Normalized from gdshowsdb 1984 bulk baseline. Wikidata: Q4928440 (name+city matched).,,
venue-bob-marley-performing-arts-center-kingston,Bob Marley Performing Arts Center,Kingston,,Jamaica,,,Normalized from gdshowsdb 1982 bulk baseline.,,
venue-boise-state-university-pavilion-boise,Boise State University Pavilion,Boise,ID,US,,,Normalized from gdshowsdb 1983 bulk baseline.,,
venue-boreal-ridge-ski-resort-donner-summit,Boreal Ridge Ski Resort,Donner Summit,CA,US,,,Normalized from gdshowsdb 1985 bulk baseline.,,
venue-boston-garden-boston,Boston Garden,Boston,MA,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-boston-tea-party-boston,Boston Tea Party,Boston,MA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-boutwell-auditorium-birmingham,Boutwell Auditorium,Birmingham,AL,US,33.5216,-86.811,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q4950473 (name+city matched).,indoor,
venue-britt-ballroom-south-oregon-college-gym-ashland,"Britt Ballroom, South Oregon College Gym",Ashland,OR,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-broome-county-arena-binghamton,Broome County Arena,Binghamton,NY,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-buckeye-lake-music-center-thornville,Buckeye Lake Music Center,Thornville,OH,US,,,Normalized from gdshowsdb 1988 bulk baseline.,,
venue-buffalo-memorial-auditorium-buffalo,Buffalo Memorial Auditorium,Buffalo,NY,US,42.878055555556,-78.8775,Normalized from gdshowsdb 1973 bulk baseline. Wikidata: Q2927640 (name+city matched).,indoor,14337
venue-caf-au-go-go-new-york,Caf� au Go-Go,New York,NY,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-cal-expo-amphitheatre-sacramento,Cal Expo Amphitheatre,Sacramento,CA,US,,,Normalized from gdshowsdb 1984 bulk baseline.,,
venue-cal-expo-building-a-sacramento,"Cal Expo, Building A",Sacramento,CA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-calaveras-county-fairgrounds-angels-camp,Calaveras County Fairgrounds,Angels Camp,CA,US,,,Normalized from gdshowsdb 1987 bulk baseline.,,
venue-california-hall-san-francisco,California Hall,San Francisco,CA,US,37.782667,-122.419362,Normalized from gdshowsdb 1966 bulk baseline. Wikidata: Q115478071 (name+city matched).,,
venue-california-state-u-dominguez-hills-carson,California State U. Dominguez Hills,Carson,CA,US,,,Normalized from gdshowsdb 1990 bulk baseline.,,
venue-cameron-indoor-stadium-duke-university-durham,"Cameron Indoor Stadium, Duke University",Durham,NC,US,35.997527777778,-78.942305555556,Normalized from gdshowsdb 1973 bulk baseline. Wikidata: Q2934766 (name+city matched).,indoor,9314
venue-camp-randall-field-house-university-of-wisconsin-madison,"Camp Randall Field House, University of Wisconsin",Madison,WI,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-campolindo-high-school-moraga,Campolindo High School,Moraga,CA,US,37.8669,-122.127,Normalized from gdshowsdb 1969 bulk baseline. Wikidata: Q5028490 (name+city matched).,,
venue-canadian-national-exhibition-stadium-toronto,Canadian National Exhibition Stadium,Toronto,,Canada,43.631944444444,-79.417777777778,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q1383747 (name+city matched).,outdoor,20679
venue-cape-cod-coliseum-south-yarmouth,Cape Cod Coliseum,South Yarmouth,MA,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-capital-centre-landover,Capital Centre,Landover,MD,US,,,Normalized from gdshowsdb 1974 bulk baseline.,,
venue-capitol-theatre-passaic,Capitol Theatre,Passaic,NJ,US,,,Normalized from gdshowsdb 1976 bulk baseline.,,
venue-capitol-theatre-port-chester,Capitol Theatre,Port Chester,NY,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-cardinal-stadium-louisville,Cardinal Stadium,Louisville,KY,US,,,Normalized from gdshowsdb 1990 bulk baseline.,,
venue-carolina-coliseum-arena-univ-of-s-carolina-columbia,"Carolina Coliseum Arena, Univ. of S. Carolina",Columbia,SC,US,,,Normalized from gdshowsdb 1985 bulk baseline.,,
venue-carousel-ballroom-san-francisco,Carousel Ballroom,San Francisco,CA,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-carrier-dome-syracuse-university-syracuse,"Carrier Dome, Syracuse University",Syracuse,NY,US,43.036111111111,-76.136388888889,Normalized from gdshowsdb 1982 bulk baseline. Wikidata: Q2739617 (name+city matched).,indoor,49262
venue-carter-finley-stadium-north-carolina-state-university-raleigh,"Carter-Finley Stadium, North Carolina State University",Raleigh,NC,US,35.800833333333,-78.719444444444,Normalized from gdshowsdb 1990 bulk baseline. Wikidata: Q945172 (name+city matched).,outdoor,57583
venue-carthay-studios-los-angeles,Carthay Studios,Los Angeles,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-cassell-coliseum-virginia-tech-blacksburg,"Cassell Coliseum, Virginia Tech",Blacksburg,VA,US,37.222222,-80.418889,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q5049290 (name+city matched).,indoor,10052
venue-catacombs-houston,Catacombs,Houston,TX,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-catholic-youth-center-scranton,Catholic Youth Center,Scranton,PA,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-centennial-coliseum-reno,Centennial Coliseum,Reno,NV,US,,,Normalized from gdshowsdb 1982 bulk baseline.,,
venue-central-park-new-york,Central Park,New York,NY,US,40.7825,-73.966111111111,Normalized from gdshowsdb 1968 bulk baseline. Wikidata: Q160409 (name+city matched).,outdoor,
venue-centrum-worcester,Centrum,Worcester,MA,US,,,Normalized from gdshowsdb 1983 bulk baseline.,,
venue-century-ii-convention-hall-wichita,Century II Convention Hall,Wichita,KS,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-chalet-inn-room-belmont,Chalet Inn Room,Belmont,CA,US,,,Normalized from gdshowsdb 1965 bulk baseline.,,
venue-chardonnay-hall-napa-county-fairgrounds-napa,"Chardonnay Hall, Napa County Fairgrounds",Napa,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-charlotte-coliseum-charlotte,Charlotte Coliseum,Charlotte,NC,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-chateau-d-herouville-herouville,Chateau d'Herouville,Herouville,,France,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-cheetah-new-york,Cheetah,New York,NY,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-chelsea-hotel-roof-new-york,Chelsea Hotel Roof,New York,NY,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-cincinnati-gardens-cincinnati,Cincinnati Gardens,Cincinnati,OH,US,39.181111111111,-84.455277777778,Normalized from gdshowsdb 1973 bulk baseline. Wikidata: Q1092220 (name+city matched).,indoor,10208
venue-city-hall-newcastle,City Hall,Newcastle,,England,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-city-island-harrisburg,City Island,Harrisburg,PA,US,40.2551,-76.888,Normalized from gdshowsdb 1983 bulk baseline. Wikidata: Q5123247 (name+city matched).,outdoor,
venue-city-park-denver,City Park,Denver,CO,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-civic-center-music-hall-oklahoma-city,Civic Center Music Hall,Oklahoma City,OK,US,35.469,-97.5234,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q5124287 (name+city matched).,indoor,
venue-civic-convention-hall-auditorium-philadelphia,Civic Convention Hall Auditorium,Philadelphia,PA,US,,,Normalized from gdshowsdb 1974 bulk baseline.,,
venue-cleveland-convention-center-cleveland,Cleveland Convention Center,Cleveland,OH,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-cleveland-music-hall-cleveland,Cleveland Music Hall,Cleveland,OH,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-cleveland-public-hall-cleveland,Cleveland Public Hall,Cleveland,OH,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-clifford-s-catering-walnut-creek,Clifford's Catering,Walnut Creek,CA,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-club-agora-columbus,Club Agora,Columbus,OH,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-cobo-arena-detroit,Cobo Arena,Detroit,MI,US,42.3261,-83.0469,Normalized from gdshowsdb 1976 bulk baseline. Wikidata: Q1104711 (name+city matched).,,
venue-colden-auditorium-queens-college-queens,"Colden Auditorium, Queens College",Queens,NY,US,40.737854,-73.815746,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q29468886 (name+city matched).,indoor,
venue-cole-field-house-university-of-maryland-college-park,"Cole Field House, University of Maryland",College Park,MD,US,,,Normalized from gdshowsdb 1981 bulk baseline.,,
venue-coliseum-west-virginia-university-morgantown,"Coliseum, West Virginia University",Morgantown,WV,US,,,Normalized from gdshowsdb 1983 bulk baseline.,,
venue-college-center-ballroom-portland-state-college-portland,"College Center Ballroom, Portland State College",Portland,OR,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-colt-park-hartford,Colt Park,Hartford,CT,US,41.7519,-72.6711,Normalized from gdshowsdb 1976 bulk baseline. Wikidata: Q17510596 (name+city matched).,outdoor,
venue-commons-san-francisco-state-university-san-francisco,"Commons, San Francisco State University",San Francisco,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-community-concourse-golden-hall-san-diego,Community Concourse Golden Hall,San Diego,CA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-compton-terrace-amphitheatre-chandler,Compton Terrace Amphitheatre,Chandler,AZ,US,,,Normalized from gdshowsdb 1987 bulk baseline.,,
venue-compton-terrace-tempe,Compton Terrace,Tempe,AZ,US,,,Normalized from gdshowsdb 1980 bulk baseline.,,
venue-concertgebouw-amsterdam,Concertgebouw,Amsterdam,North Holland,Netherlands,52.356305555556,4.8790833333333,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q849957 (name+city matched).,indoor,
venue-continental-ballroom-santa-clara,Continental Ballroom,Santa Clara,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-copps-coliseum-hamilton,Copps Coliseum,Hamilton,Ontario,Canada,43.259166666667,-79.8725,Normalized from gdshowsdb 1990 bulk baseline. Wikidata: Q1131541 (name+city matched).,indoor,19000
venue-coronation-park-toronto,Coronation Park,Toronto,,Canada,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-cotterell-gym-colgate-university-hamilton,"Cotterell Gym, Colgate University",Hamilton,NY,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-cow-palace-daly-city,Cow Palace,Daly City,CA,US,,,Normalized from gdshowsdb 1974 bulk baseline.,,
venue-crisler-arena-university-of-michigan-ann-arbor,"Crisler Arena, University of Michigan",Ann Arbor,MI,US,42.265037,-83.746768,Normalized from gdshowsdb 1979 bulk baseline. Wikidata: Q3091213 (name+city matched).,indoor,13684
venue-crystal-ballroom-portland,Crystal Ballroom,Portland,OR,US,45.522756,-122.684863,Normalized from gdshowsdb 1968 bulk baseline. Wikidata: Q5191122 (name+city matched).,,
venue-cumberland-county-civic-center-portland,Cumberland County Civic Center,Portland,ME,US,43.655556,-70.259167,Normalized from gdshowsdb 1979 bulk baseline. Wikidata: Q145530 (name+city matched).,,6733
venue-curtis-hixon-convention-hall-tampa,Curtis Hixon Convention Hall,Tampa,FL,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-dallas-convention-center-arena-dallas,Dallas Convention Center Arena,Dallas,TX,US,,,Normalized from gdshowsdb 1978 bulk baseline.,,
venue-dallas-memorial-auditorium-dallas,Dallas Memorial Auditorium,Dallas,TX,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-dance-hall-rio-nido,Dance Hall,Rio Nido,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-dane-county-coliseum-madison,Dane County Coliseum,Madison,WI,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-daniel-meyer-coliseum-texas-christian-university-fort-worth,"Daniel�Meyer Coliseum, Texas Christian University",Fort Worth,TX,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-danish-center-los-angeles,Danish Center,Los Angeles,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-dante-s-inferno-vancouver,Dante's Inferno,Vancouver,,Canada,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-david-mead-field-house-allegheny-college-meadville,"David Mead Field House, Allegheny College",Meadville,PA,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-davis-gym-bucknell-university-lewisburg,"Davis Gym, Bucknell University",Lewisburg,PA,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-dean-e-smith-center-unversity-of-north-carolina-chapel-hill,"Dean E. Smith Center, Unversity of North Carolina",Chapel Hill,NC,US,,,Normalized from gdshowsdb 1993 bulk baseline.,,
venue-deer-creek-music-center-noblesville,Deer Creek Music Center,Noblesville,IN,US,,,Normalized from gdshowsdb 1989 bulk baseline.,,
venue-del-mar-fairgrounds-del-mar,Del Mar Fairgrounds,Del Mar,CA,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-delta-center-salt-lake-city,Delta Center,Salt Lake City,UT,US,40.768333,-111.901111,Normalized from gdshowsdb 1995 bulk baseline. Wikidata: Q82294 (name+city matched).,indoor,19911
venue-denver-coliseum-denver,Denver Coliseum,Denver,CO,US,39.7791279,-104.9707305,Normalized from gdshowsdb 1973 bulk baseline. Wikidata: Q5259698 (name+city matched).,,10500
venue-des-moines-civic-center-des-moines,Des Moines Civic Center,Des Moines,IA,US,,,Normalized from gdshowsdb 1980 bulk baseline.,,
venue-devore-field-southwestern-college-chula-vista,"Devore Field, Southwestern College",Chula Vista,CA,US,,,Normalized from gdshowsdb 1985 bulk baseline.,,
venue-diamond-gym-college-of-marin-kentfield,"Diamond Gym, College of Marin",Kentfield,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-dillon-gym-princeton-university-princeton,"Dillon Gym, Princeton University",Princeton,NJ,US,40.345646,-74.658867,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q5276932 (name+city matched).,,1500
venue-dillon-stadium-hartford,Dillon Stadium,Hartford,CT,US,41.753783,-72.661061,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q5276946 (name+city matched).,outdoor,20000
venue-downs-of-santa-fe-santa-fe,Downs of Santa Fe,Santa Fe,NM,US,,,Normalized from gdshowsdb 1982 bulk baseline.,,
venue-dream-bowl-vallejo,Dream Bowl,Vallejo,CA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-dupont-gym-mit-cambridge,"DuPont Gym, MIT",Cambridge,MA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-eagles-auditorium-seattle,Eagles Auditorium,Seattle,WA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-earl-warren-showgrounds-santa-barbara,Earl Warren Showgrounds,Santa Barbara,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-eastown-theatre-detroit,Eastown Theatre,Detroit,MI,US,42.38869,-83.02013,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q5330881 (name+city matched).,indoor,
venue-el-camino-park-palo-alto,El Camino Park,Palo Alto,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-el-paso-county-coliseum-el-paso,El Paso County Coliseum,El Paso,TX,US,31.766389,-106.443056,Normalized from gdshowsdb 1973 bulk baseline. Wikidata: Q5351766 (name+city matched).,,5250
venue-el-roach-tavern-seattle,El Roach Tavern,Seattle,WA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-electric-circus-new-york,Electric Circus,New York,NY,US,40.7292,-73.9887,Normalized from gdshowsdb 1968 bulk baseline. Wikidata: Q5357333 (name+city matched).,indoor,
venue-electric-factory-philadelphia,Electric Factory,Philadelphia,PA,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-elysian-park-los-angeles,Elysian Park,Los Angeles,CA,US,34.0828,-118.238,Normalized from gdshowsdb 1967 bulk baseline. Wikidata: Q5368570 (name+city matched).,,
venue-embassy-ballroom-a-k-a-banana-grove-ambassador-hotel-los-angeles,"Embassy Ballroom (a.k.a. ""Banana Grove""), Ambassador Hotel",Los Angeles,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-empire-pool-london,Empire Pool,London,,England,51.558081,-0.282773,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q815571 (name+city matched).,indoor,12500
venue-empire-studios-los-angeles,Empire Studios,Los Angeles,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-emu-ballroom-university-of-oregon-eugene,"EMU Ballroom, University of Oregon",Eugene,OR,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-euphoria-san-rafael,Euphoria,San Rafael,CA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-eureka-municipal-auditorium-eureka,Eureka Municipal Auditorium,Eureka,CA,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-evans-field-house-northern-illinois-university-dekalb,"Evans Field House, Northern Illinois University",Dekalb,IL,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-expo-milwaukee-convention-center-milwaukee,Expo Milwaukee Convention Center,Milwaukee,WI,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-family-dog-denver,Family Dog,Denver,CO,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-family-dog-on-the-great-highway-san-francisco,Family Dog On The Great Highway,San Francisco,CA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-farrell-hall-suny-delhi,"Farrell Hall, SUNY",Delhi,NY,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-felt-forum-madison-square-garden-new-york,"Felt Forum, Madison Square Garden",New York,NY,US,40.75063,-73.993744,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q17089953 (name+city matched).,indoor,5600
venue-ferris-booth-hall-terrace-columbia-university-new-york,"Ferris Booth Hall terrace, Columbia University",New York,NY,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-festhalle-frankfurt,Festhalle,Frankfurt,,Germany,,,Normalized from gdshowsdb 1990 bulk baseline.,,
venue-feyline-field-tempe,Feyline Field,Tempe,AZ,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-field-house-seneca-college-toronto,"Field House, Seneca College",Toronto,,Canada,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-fieldhouse-university-of-iowa-iowa-city,"Fieldhouse, University of Iowa",Iowa City,IA,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
