song_id,person_id,writer_role,notes
song-playing-in-the-band,person-bob-weir,music,MusicBrainz exact-title work match.
song-playing-in-the-band,person-mickey-hart,music,MusicBrainz exact-title work match.
song-promised-land,person-chuck-berry,lyrics,MusicBrainz exact-title work match.
song-promised-land,person-chuck-berry,music,MusicBrainz exact-title work match.
song-ramble-on-rose,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-ramble-on-rose,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-sing-me-back-home,person-merle-haggard,lyrics,MusicBrainz exact-title work match.
song-sing-me-back-home,person-merle-haggard,music,MusicBrainz exact-title work match.
song-sitting-on-top-of-the-world,person-lonnie-chatmon,writer,MusicBrainz exact-title work match.
song-sitting-on-top-of-the-world,person-walter-jacobs,writer,MusicBrainz exact-title work match.
song-smokestack-lightning,person-howlin-wolf,lyrics,MusicBrainz exact-title work match.
song-smokestack-lightning,person-howlin-wolf,music,MusicBrainz exact-title work match.
song-stella-blue,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-stella-blue,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-sugar-magnolia,person-bob-weir,lyrics,MusicBrainz exact-title work match.
song-sugar-magnolia,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-sugar-magnolia,person-bob-weir,music,MusicBrainz exact-title work match.
song-sugaree,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-sugaree,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-sugaree,person-jerry-garcia,writer,Source displays Garcia/Hunter without role-level attribution.
song-sugaree,person-robert-hunter,writer,Source displays Garcia/Hunter without role-level attribution.
song-tennessee-jed,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-tennessee-jed,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-truckin,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-truckin,person-bob-weir,music,MusicBrainz exact-title work match.
song-truckin,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-truckin,person-phil-lesh,music,MusicBrainz exact-title work match.
song-uncle-john-s-band,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-uncle-john-s-band,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-weather-report-suite-prelude,person-bob-weir,music,Dead.net song-page credit.
song-wharf-rat,person-robert-hunter,lyrics,MusicBrainz exact-title work match.
song-wharf-rat,person-jerry-garcia,music,MusicBrainz exact-title work match.
song-who-do-you-love,person-bo-diddley,lyrics,MusicBrainz exact-title work match.
song-who-do-you-love,person-bo-diddley,music,MusicBrainz exact-title work match.
song-you-win-again,person-hank-williams,writer,Dead.net song-page credit.
