performance_id,person_id,role,instrument,notes,source_key,source_record_id
gd-1991-10-27-iko-iko-2-5,person-carlos-santana,guest,guitar,"Two days after Bill Graham's death: Santana and Gary Duncan joined Garcia and Weir for Iko Iko > Mona. JamBase, 'Grateful Dead Legends Team For Bill Graham Tribute' (on this date 1991-10-27); JerryBase event 19911027-02.",manual,research-santana-onstage-2026-09-14
gd-1991-10-27-iko-iko-2-5,person-gary-duncan,guest,guitar,"Gary Duncan (Quicksilver Messenger Service), his first Dead sit-in since 1972, alongside Carlos Santana. JamBase, 'Grateful Dead Legends Team For Bill Graham Tribute' (on this date 1991-10-27); JerryBase event 19911027-02.",manual,research-santana-onstage-2026-09-14
gd-1991-10-27-mona-2-6,person-carlos-santana,guest,guitar,"Two days after Bill Graham's death: Santana and Gary Duncan joined Garcia and Weir for Iko Iko > Mona. JamBase, 'Grateful Dead Legends Team For Bill Graham Tribute' (on this date 1991-10-27); JerryBase event 19911027-02.",manual,research-santana-onstage-2026-09-14
gd-1991-10-27-mona-2-6,person-gary-duncan,guest,guitar,"Gary Duncan (Quicksilver Messenger Service), his first Dead sit-in since 1972, alongside Carlos Santana. JamBase, 'Grateful Dead Legends Team For Bill Graham Tribute' (on this date 1991-10-27); JerryBase event 19911027-02.",manual,research-santana-onstage-2026-09-14
gd-1993-01-26-the-other-one-2-8,person-carlos-santana,guest,guitar,"Santana came out of Space and stayed for the rest of the set. JamBase, 'Carlos Santana Joins Grateful Dead In Oakland' (1993-01-26 account) and 'Bob Weir Guides Carlos Santana Through Stella Blue' (video); JerryBase event 19930126-02.",manual,research-santana-onstage-2026-09-14
gd-1993-01-26-stella-blue-2-9,person-carlos-santana,guest,guitar,"Santana did not know the song; video shows Bob Weir leaning in repeatedly to walk him through the changes. Tentative at first, he finds his footing by the end. The most-cited moment of his last sit-in with the band. JamBase, 'Carlos Santana Joins Grateful Dead In Oakland' (1993-01-26 account) and 'Bob Weir Guides Carlos Santana Through Stella Blue' (video); JerryBase event 19930126-02.",manual,research-santana-onstage-2026-09-14
gd-1993-01-26-turn-on-your-lovelight-2-10,person-carlos-santana,guest,guitar,"Set closer with Santana still onstage. JamBase, 'Carlos Santana Joins Grateful Dead In Oakland' (1993-01-26 account) and 'Bob Weir Guides Carlos Santana Through Stella Blue' (video); JerryBase event 19930126-02.",manual,research-santana-onstage-2026-09-14
gd-1993-01-26-gloria-3-1,person-carlos-santana,guest,guitar,"Encore with Santana; his last song onstage with the Grateful Dead. JamBase, 'Carlos Santana Joins Grateful Dead In Oakland' (1993-01-26 account) and 'Bob Weir Guides Carlos Santana Through Stella Blue' (video); JerryBase event 19930126-02.",manual,research-santana-onstage-2026-09-14
gd-1978-12-31-drums-2-6,person-ken-kesey,guest,percussion,"Kesey rolled out the Thunder Machine, Mickey Hart's clanging percussion sculpture, for the Winterland closing night. Wikipedia and LiveForLiveMusic; JerryBase's own instrument field says harmonica, likely a default rather than a per-show check.",manual,research-airto-kesey-2026-09-18
gd-1981-05-08-drums-2-5,person-ken-kesey,guest,harmonica,Kesey played harmonica during Drums at Nassau Coliseum. JerryGarcia.com show notes: w/ Ken Kesey on harmonica.,manual,research-airto-kesey-2026-09-18
gd-1983-08-31-drums-2-5,person-ken-kesey,guest,harmonica,"Kesey played harmonica standing behind the drum kit during Drums into Space at the Hult Center, Eugene, his home turf near the Springfield Creamery. Grateful Dead of the Day show notes.",manual,research-airto-kesey-2026-09-18
gd-1984-05-08-drums-2-5,person-ken-kesey,guest,percussion,Kesey brought the Thunder Machine back for Drums at the same Eugene hall. JerryGarcia.com show notes: w/ Ken Kesey and the Thunder Machine.,manual,research-airto-kesey-2026-09-18
gd-1991-10-31-dark-star-2-5,person-ken-kesey,guest,rap,"Six days after Bill Graham's death, Kesey walked out mid-Dark Star in a black suit and plumed hat and delivered a spoken eulogy over the jam, closing with e.e. cummings' Buffalo Bill poem before the band moved into Drums. Speakola (full transcript), Far Out Magazine, dead.net show comments.",manual,research-airto-kesey-2026-09-18
gd-1980-12-13-drums-2-4,person-airto-moreira,guest,drums,"Airto Moreira and Flora Purim sat in for Drums into Space at Long Beach; an attendee on dead.net called it, along with that night's Not Fade Away, mind blowing. Grateful Dead of the Day guest index; dead.net show comments.",manual,research-airto-kesey-2026-09-18
gd-1980-12-13-space-2-5,person-airto-moreira,guest,drums,Moreira continued into Space the same night. Grateful Dead of the Day guest index lists this show as Drums> Space.,manual,research-airto-kesey-2026-09-18
gd-1980-12-14-drums-2-6,person-airto-moreira,guest,drums,Moreira returned the next night at the same Long Beach run for Drums. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1982-05-28-drums-1-7,person-airto-moreira,guest,drums,"Moreira sat in for Drums at this Vietnam Veterans benefit at Moscone Center, where he is also described as playing through the whole show alongside John Cipollina and Flora Purim; the songwide claim is not sourced per song, so only Drums is entered. Grateful Dead of the Day guest index; dead.net show page.",manual,research-airto-kesey-2026-09-18
gd-1983-05-15-drums-2-6,person-airto-moreira,guest,drums,Moreira sat in for Drums at the Greek Theatre. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1983-10-31-drums-2-6,person-airto-moreira,guest,drums,Moreira joined for Drums on the Halloween 1983 show that also carried the last Saint Stephen ever played; no source ties him to Saint Stephen itself. Dead.net show page (with Airto Moreira - final 'St. Stephen').,manual,research-airto-kesey-2026-09-18
gd-1989-02-11-drums-2-8,person-airto-moreira,guest,drums,"Moreira joined for Drums at the Forum, alongside Flora Purim and Diana Moreira on vocals. Grateful Dead of the Day guest index; dead.net show page.",manual,research-airto-kesey-2026-09-18
gd-1989-12-30-sugaree-1-3,person-airto-moreira,guest,drums,Moreira sat in starting here and stayed audible on and off for the rest of the first set. Dead.net comment (Forrest George); Grateful Dead of the Day recording notes.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-walkin-blues-1-4,person-airto-moreira,guest,drums,Moreira continued through this song in the same first-set run. Dead.net comment (Forrest George); Grateful Dead of the Day recording notes.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-jack-a-roe-1-5,person-airto-moreira,guest,drums,Moreira continued through this song in the same first-set run. Dead.net comment (Forrest George); Grateful Dead of the Day recording notes.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-when-i-paint-my-masterpiece-1-6,person-airto-moreira,guest,drums,Moreira continued through this song in the same first-set run. Dead.net comment (Forrest George); Grateful Dead of the Day recording notes.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-west-l-a-fadeaway-1-7,person-airto-moreira,guest,drums,Moreira's first-set run closes here per the sourced range. Dead.net comment (Forrest George); Grateful Dead of the Day recording notes.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-the-music-never-stopped-1-8,person-airto-moreira,guest,drums,Moreira is also named on the first-set closer. Grateful Dead of the Day recording notes: sometimes audible and often not.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-china-cat-sunflower-2-2,person-airto-moreira,guest,drums,Moreira's second-set run opens here per the sourced range. Dead.net comment (Forrest George); Grateful Dead of the Day recording notes.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-i-know-you-rider-2-3,person-airto-moreira,guest,drums,Moreira continued through this song in the same second-set run. Grateful Dead of the Day recording notes: sometimes audible and often not.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-estimated-prophet-2-4,person-airto-moreira,guest,drums,Moreira continued through this song in the same second-set run. Grateful Dead of the Day recording notes: sometimes audible and often not.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-terrapin-station-2-5,person-airto-moreira,guest,drums,Moreira continued through this song in the same second-set run. Grateful Dead of the Day recording notes: sometimes audible and often not.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-drums-2-6,person-airto-moreira,guest,drums,Moreira played Drums itself in this same second-set run. Dead.net comment (Forrest George); Grateful Dead of the Day recording notes.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-space-2-7,person-airto-moreira,guest,drums,Moreira continued into Space in the same run. Grateful Dead of the Day recording notes: sometimes audible and often not.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-i-will-take-you-home-2-8,person-airto-moreira,guest,drums,Moreira continued through this song in the same second-set run. Grateful Dead of the Day recording notes: sometimes audible and often not.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-the-other-one-2-9,person-airto-moreira,guest,drums,Moreira continued through this song in the same second-set run. Grateful Dead of the Day recording notes: sometimes audible and often not.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-standing-on-the-moon-2-10,person-airto-moreira,guest,drums,Moreira continued through this song in the same second-set run. Grateful Dead of the Day recording notes: sometimes audible and often not.,manual,research-airto-kesey-2026-09-18
gd-1989-12-30-one-more-saturday-night-2-11,person-airto-moreira,guest,drums,Moreira's second-set run and the night close together here per the sourced range. Dead.net comment (Forrest George); Grateful Dead of the Day recording notes.,manual,research-airto-kesey-2026-09-18
gd-1989-12-31-victim-or-the-crime-2-2,person-airto-moreira,guest,drums,"Moreira joined the next night too, from Victim or the Crime through Drums. Grateful Dead of the Day guest index.",manual,research-airto-kesey-2026-09-18
gd-1989-12-31-dark-star-2-3,person-airto-moreira,guest,drums,Moreira continued into this rare Dark Star on New Year's Eve 1989. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1989-12-31-drums-2-4,person-airto-moreira,guest,drums,Moreira's run from the previous two songs carries into Drums itself. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1991-02-21-uncle-john-s-band-2-2,person-airto-moreira,guest,drums,"Moreira's longest single-night credit: he joined for Uncle John's Band through most of the rest of set two. Grateful Dead of the Day guest index, which names each song.",manual,research-airto-kesey-2026-09-18
gd-1991-02-21-terrapin-station-2-3,person-airto-moreira,guest,drums,Moreira continued through Terrapin Station in the same run. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1991-02-21-drums-2-5,person-airto-moreira,guest,drums,Moreira played Drums itself in the same run. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1991-02-21-eyes-of-the-world-2-7,person-airto-moreira,guest,drums,Moreira continued into Eyes of the World after Drums and Space. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1991-02-21-throwing-stones-2-8,person-airto-moreira,guest,drums,Moreira continued through Throwing Stones in the same run. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1991-02-21-not-fade-away-2-9,person-airto-moreira,guest,drums,Moreira's run closes with the set-two closer. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1991-12-30-jam-2-6,person-airto-moreira,guest,drums,The tape tags this jam a Dear Prudence tease; Moreira is credited on drums and vocals through it into Drums. Grateful Dead of the Day recording notes: d3t02 and d3t03 with Airto Moreira on Drums and Vocals.,manual,research-airto-kesey-2026-09-18
gd-1991-12-30-drums-2-7,person-airto-moreira,guest,vocals,Moreira's drums-and-vocals credit continues into Drums itself. Grateful Dead of the Day recording notes.,manual,research-airto-kesey-2026-09-18
gd-1991-12-31-not-fade-away-2-1,person-airto-moreira,guest,drums,"Moreira is credited on this show's rare set-two-opening Not Fade Away. Grateful Dead of the Day guest index; the show's own dead.net page carries no further detail, so treat this credit as thinner than the others.",manual,research-airto-kesey-2026-09-18
gd-1993-12-09-drums-2-6,person-airto-moreira,guest,drums,"Moreira and Flora Purim sat in on Drums before Ornette Coleman took over for the rest of the show, per a dead.net attendee. Grateful Dead of the Day guest index; dead.net show comments.",manual,research-airto-kesey-2026-09-18
gd-1980-12-13-drums-2-4,person-flora-purim,guest,drums,Flora Purim joined Airto Moreira for Drums into Space at Long Beach. Grateful Dead of the Day guest index; dead.net show comments.,manual,research-airto-kesey-2026-09-18
gd-1980-12-13-space-2-5,person-flora-purim,guest,drums,Purim continued into Space the same night. Grateful Dead of the Day guest index lists this show as Drums> Space.,manual,research-airto-kesey-2026-09-18
gd-1980-12-14-drums-2-6,person-flora-purim,guest,drums,Purim returned the next night for Drums. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1982-05-28-drums-1-7,person-flora-purim,guest,vocals,"Purim sat in for Drums at the Moscone Center Vietnam Veterans benefit, alongside Airto Moreira, John Cipollina and Boz Scaggs. Grateful Dead of the Day guest index; dead.net show page.",manual,research-airto-kesey-2026-09-18
gd-1983-05-15-drums-2-6,person-flora-purim,guest,drums,Purim sat in for Drums at the Greek Theatre with Moreira. Grateful Dead of the Day guest index.,manual,research-airto-kesey-2026-09-18
gd-1989-02-11-drums-2-8,person-flora-purim,guest,vocals,Purim sang during Drums at the Forum alongside Moreira and Diana Moreira. Grateful Dead of the Day guest index; dead.net show page.,manual,research-airto-kesey-2026-09-18
gd-1993-12-09-drums-2-6,person-flora-purim,guest,vocals,Purim sat in on Drums with Moreira before Ornette Coleman took the rest of the show. Grateful Dead of the Day guest index; dead.net show comments.,manual,research-airto-kesey-2026-09-18
gd-1986-07-02-little-red-rooster-1-4,person-bob-dylan,guest,guitar,"Dylan's live debut with the Grateful Dead, on the first of three songs he joined during set one after his own opening set with Tom Petty. Dead.net attendee: 'Dylan joining them for Little Red Rooster, Don't Think Twice and Baby Blue,' checked against handwritten notes; setlist.fm.",manual,research-bob-dylan-2026-09-18
gd-1986-07-02-don-t-think-twice-it-s-alright-1-5,person-bob-dylan,guest,vocals,"Dylan on lead vocals, the only time the Grateful Dead ever played this song, during his first sit-in at the Rubber Bowl. Setlist.fm; dead.net July 2 1986 show page attendee comment naming the same three-song set.",manual,research-bob-dylan-2026-09-18
gd-1986-07-02-it-s-all-over-now-baby-blue-1-6,person-bob-dylan,guest,vocals,Dylan and Garcia shared vocals to close his three-song sit-in. The same night's later Desolation Row is marked 'no Jerry' by an attendee and is not counted as a Dylan song here. Setlist.fm; dead.net show page comments.,manual,research-bob-dylan-2026-09-18
gd-1986-07-07-it-s-all-over-now-baby-blue-1-4,person-bob-dylan,guest,guitar,"Five days after Akron, Dylan sat in again at RFK Stadium. His guitar was not working at the start of the song and he finished it on a borrowed Bob Weir guitar. Setlist.fm; dead.net July 7 1986 show page attendee comment.",manual,research-bob-dylan-2026-09-18
gd-1986-07-07-desolation-row-1-5,person-bob-dylan,guest,vocals,"The two Bobs traded verses on this Dylan original, the second of two songs he sat in on at RFK Stadium. Setlist.fm; dead.net show page comment: 'the Desolation Row with the two Bobs trading lyrics.'",manual,research-bob-dylan-2026-09-18
gd-1989-02-12-iko-iko-2-1,person-bob-dylan,guest,guitar,"Dylan walked out to open the second set on this song, the start of a run some attendees believe he helped choose that night. JamBase, 'Bob Dylan, Spencer Davis & Kitaro Join Grateful Dead In 1989'; Grateful Dead of the Day, February 12 1989.",manual,research-bob-dylan-2026-09-18
gd-1989-02-12-monkey-and-the-engineer-2-2,person-bob-dylan,guest,guitar,"A bust-out with Dylan onstage, the song's first performance since 1981. Grateful Dead of the Day: 'some people who were there claim that Dylan was calling the setlist,' which would explain the choice. JamBase confirms the song and the gap.",manual,research-bob-dylan-2026-09-18
gd-1989-02-12-alabama-getaway-2-3,person-bob-dylan,guest,guitar,"Part of the pre-Drums stretch of the second set that JamBase and Grateful Dead of the Day both credit to Dylan, alongside Iko Iko, Monkey and the Engineer, Dire Wolf, Cassidy and Stuck Inside of Mobile.",manual,research-bob-dylan-2026-09-18
gd-1989-02-12-dire-wolf-2-4,person-bob-dylan,guest,guitar,"One of six second-set songs in a row with Dylan onstage before Drums. JamBase, 'Bob Dylan, Spencer Davis & Kitaro Join Grateful Dead In 1989'; Grateful Dead of the Day, February 12 1989.",manual,research-bob-dylan-2026-09-18
gd-1989-02-12-cassidy-2-5,person-bob-dylan,guest,guitar,"Dylan stayed on through this song's jam; a dead.net attendee wrote he 'clearly looked baffled during the jam in Cassidy,' finding structured songs easier than open jamming. Dead.net show page comment; JamBase.",manual,research-bob-dylan-2026-09-18
gd-1989-02-12-stuck-inside-of-mobile-with-the-memphis-blues-again-2-6,person-bob-dylan,guest,vocals,"The night's centerpiece: Weir sang Dylan's own song and stalled mid-verse, and Dylan finished the line himself. One attendee: 'Bobby kept trying to get Dylan to sing... he didn't want to' until Weir 'pretended to forget the lyrics.' JamBase; dead.net show page.",manual,research-bob-dylan-2026-09-18
gd-1989-02-12-not-fade-away-3-1,person-bob-dylan,guest,guitar,"Dylan came back out for the two-song encore after sitting out Drums, Space, The Other One, Stella Blue and Foolish Heart. Dead.net: he 'returned for both encore songs.' JamBase, 'Bob Dylan, Spencer Davis & Kitaro Join Grateful Dead In 1989.'",manual,research-bob-dylan-2026-09-18
gd-1989-02-12-knockin-on-heaven-s-door-3-2,person-bob-dylan,guest,guitar,Dylan's last song of the night. JamBase says he took the band through it; a dead.net commenter recalls Weir singing lead while Dylan 'let Bobby sing Heaven's Door.' Either way he stayed onstage to close the show.,manual,research-bob-dylan-2026-09-18
gd-1994-10-17-rainy-day-women-12-and-35-3-1,person-bob-dylan,guest,acoustic guitar,"The Grateful Dead's only performance of this song, and their first Dylan collaboration since the 1989 Forum sit-in. His microphone failed and Weir stopped playing mid-song to adjust the stand. JamBase, 'Bob Dylan Performs With Grateful Dead At Madison Square Garden On This Date In 1994'; dead.net show page comments.",manual,research-bob-dylan-2026-09-18
gd-1990-03-29-bird-song-1-6,person-branford-marsalis,guest,saxophone,"Phil Lesh invited Marsalis backstage and the band auditioned him on Bird Song before asking him to stay for the whole second set. JamBase, 'Watch Branford Marsalis Make Grateful Dead Debut At Nassau Coliseum.'",manual,research-branford-marsalis-2026-09-18
gd-1990-03-29-eyes-of-the-world-2-1,person-branford-marsalis,guest,saxophone,"Marsalis opened the second set he'd just been asked to stay for with Eyes of the World, later the opening track of the official release Wake Up to Find Out. Wikipedia, 'Wake Up to Find Out.'",manual,research-branford-marsalis-2026-09-18
gd-1990-03-29-estimated-prophet-2-2,person-branford-marsalis,guest,saxophone,"Marsalis continued through Estimated Prophet, the second set's second song. JamBase, 'Watch Branford Marsalis Make Grateful Dead Debut At Nassau Coliseum.'",manual,research-branford-marsalis-2026-09-18
gd-1990-03-29-dark-star-2-3,person-branford-marsalis,guest,saxophone,"Marsalis had never played Dark Star and asked the band 'What is it?' before the first of two takes that night. JamBase, 'Watch Branford Marsalis Make Grateful Dead Debut At Nassau Coliseum.'",manual,research-branford-marsalis-2026-09-18
gd-1990-03-29-dark-star-2-6,person-branford-marsalis,guest,saxophone,"This second Dark Star, after Drums and Space, drew fans who later called Marsalis's private number to thank him for reviving a song the Dead hadn't played in six months. JamBase, 'Watch Branford Marsalis Make Grateful Dead Debut At Nassau Coliseum.'",manual,research-branford-marsalis-2026-09-18
gd-1990-03-29-the-wheel-2-7,person-branford-marsalis,guest,saxophone,"Marsalis stayed on for The Wheel as the second set continued. JamBase, 'Watch Branford Marsalis Make Grateful Dead Debut At Nassau Coliseum.'",manual,research-branford-marsalis-2026-09-18
gd-1990-03-29-throwing-stones-2-8,person-branford-marsalis,guest,saxophone,"Marsalis played Throwing Stones ahead of the set-closing Lovelight. JamBase, 'Watch Branford Marsalis Make Grateful Dead Debut At Nassau Coliseum.'",manual,research-branford-marsalis-2026-09-18
gd-1990-03-29-turn-on-your-lovelight-2-9,person-branford-marsalis,guest,saxophone,"Marsalis closed the second set with Turn On Your Lovelight. JamBase, 'Watch Branford Marsalis Make Grateful Dead Debut At Nassau Coliseum.'",manual,research-branford-marsalis-2026-09-18
gd-1990-03-29-knockin-on-heaven-s-door-3-1,person-branford-marsalis,guest,saxophone,"Marsalis returned for the Knockin' On Heaven's Door encore, capping the night later released as Wake Up to Find Out. Wikipedia, 'Wake Up to Find Out.'",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-bird-song-1-7,person-branford-marsalis,guest,saxophone,"Marsalis returned for his second sit-in, joining late in the first set for Bird Song. Setlist.fm, Grateful Dead at Oakland-Alameda County Coliseum Arena, December 31, 1990.",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-promised-land-1-8,person-branford-marsalis,guest,saxophone,"Marsalis closed the first set with Promised Land. Setlist.fm, Grateful Dead at Oakland-Alameda County Coliseum Arena, December 31, 1990.",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-not-fade-away-2-1,person-branford-marsalis,guest,saxophone,"Marsalis opened the second set with Not Fade Away, one end of a bookend the Dead used only four times in their history. Branford Marsalis, 'Branford Marsalis's History With The Grateful Dead' (Live For Live Music, republished on branfordmarsalis.com).",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-eyes-of-the-world-2-2,person-branford-marsalis,guest,saxophone,"Marsalis played Eyes of the World, the second set's second song. Setlist.fm, Grateful Dead at Oakland-Alameda County Coliseum Arena, December 31, 1990.",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-dark-star-2-3,person-branford-marsalis,guest,saxophone,"Marsalis played Dark Star ahead of Drums, where percussionist Hamza El-Din joined separately. Setlist.fm, Grateful Dead at Oakland-Alameda County Coliseum Arena, December 31, 1990.",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-the-other-one-2-6,person-branford-marsalis,guest,saxophone,"Marsalis came back after Drums and Space for The Other One. Setlist.fm, Grateful Dead at Oakland-Alameda County Coliseum Arena, December 31, 1990.",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-wharf-rat-2-7,person-branford-marsalis,guest,saxophone,"Marsalis played Wharf Rat, which segued into the closing Not Fade Away reprise. Setlist.fm, Grateful Dead at Oakland-Alameda County Coliseum Arena, December 31, 1990.",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-not-fade-away-2-8,person-branford-marsalis,guest,saxophone,"Marsalis closed the second set with the Not Fade Away reprise, the other end of the bookend. Branford Marsalis, 'Branford Marsalis's History With The Grateful Dead' (Live For Live Music, republished on branfordmarsalis.com).",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-the-weight-3-1,person-branford-marsalis,guest,saxophone,"Marsalis played The Weight in the New Year's encore. Setlist.fm, Grateful Dead at Oakland-Alameda County Coliseum Arena, December 31, 1990.",manual,research-branford-marsalis-2026-09-18
gd-1990-12-31-johnny-b-goode-3-2,person-branford-marsalis,guest,saxophone,"Marsalis closed the New Year's Eve show with Johnny B. Goode. Setlist.fm, Grateful Dead at Oakland-Alameda County Coliseum Arena, December 31, 1990.",manual,research-branford-marsalis-2026-09-18
gd-1991-09-10-shakedown-street-1-1,person-branford-marsalis,guest,saxophone,"Marsalis opened his third sit-in with Shakedown Street as Phil Lesh played funk-style bass under him. JamBase, 'Branford Marsalis Guests With Grateful Dead At Madison Square Garden On This Date In 1991.'",manual,research-branford-marsalis-2026-09-18
gd-1991-09-10-c-c-rider-1-2,person-branford-marsalis,guest,saxophone,"Marsalis continued into C.C. Rider, the second song of a show JamBase says he augmented start to finish. JamBase, 'Branford Marsalis Guests With Grateful Dead At Madison Square Garden On This Date In 1991.'",manual,research-branford-marsalis-2026-09-18
gd-1991-09-10-it-takes-a-lot-to-laugh-it-takes-a-train-to-cry-1-3,person-branford-marsalis,guest,saxophone,"Marsalis played through It Takes A Lot To Laugh, It Takes A Train To Cry, part of the show he played start to finish. JamBase, 'Branford Marsalis Guests With Grateful Dead At Madison Square Garden On This Date In 1991.'",manual,research-branford-marsalis-2026-09-18
gd-1991-09-10-black-throated-wind-1-4,person-branford-marsalis,guest,saxophone,"Marsalis played through Black Throated Wind, part of the show he played start to finish. JamBase, 'Branford Marsalis Guests With Grateful Dead At Madison Square Garden On This Date In 1991.'",manual,research-branford-marsalis-2026-09-18
gd-1991-09-10-high-time-1-5,person-branford-marsalis,guest,saxophone,"Marsalis played through High Time, part of the show he played start to finish. JamBase, 'Branford Marsalis Guests With Grateful Dead At Madison Square Garden On This Date In 1991.'",manual,research-branford-marsalis-2026-09-18
gd-1991-09-10-cassidy-1-6,person-branford-marsalis,guest,saxophone,"Marsalis played through Cassidy, part of the show he played start to finish. JamBase, 'Branford Marsalis Guests With Grateful Dead At Madison Square Garden On This Date In 1991.'",manual,research-branford-marsalis-2026-09-18
gd-1991-09-10-deal-1-7,person-branford-marsalis,guest,saxophone,"Marsalis closed the first set with Deal. JamBase, 'Branford Marsalis Guests With Grateful Dead At Madison Square Garden On This Date In 1991.'",manual,research-branford-marsalis-2026-09-18
gd-1991-09-10-help-on-the-way-2-1,person-branford-marsalis,guest,saxophone,"Marsalis opened the second set with Help On The Way. JamBase, 'Branford Marsalis Guests With Grateful Dead At Madison Square Garden On This Date In 1991.'",manual,research-branford-marsalis-2026-09-18
gd-1991-09-10-slipknot-2-2,person-branford-marsalis,guest,saxophone,"Marsalis continued into Slipknot. JamBase, 'Branford Marsalis Guests With Grateful Dead At Madison Square Garden On This Date In 1991.'",manual,research-branford-marsalis-2026-09-18
